https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
PIPE,PS-14,#REF!,"3,408",0,0,0,"3,408",,"1,820",,,,0,,,,0,,,,"1,588",,,
FITTING,CH80F,#REF!,276,0,0,0,276,,164,,,,112,,,,0,,,,0,,,
FITTING,C14,#REF!,"1,066",0,0,0,"1,066",,533,,,,533,,,,0,,,,0,,,
FITTING,C527,#REF!,886,0,0,0,886,,443,,,,443,,,,0,,,,0,,,
FITTING,C95,#REF!,330,0,0,0,330,,330,,,,0,,,,0,,,,0,,,
FITTINGs,C42,#REF!,"58,504",0,0,0,"58,504",,"20,674",,,,"20,674",,,,0,,,,"17,156",,,
FITTING,C56,#REF!,"2,353",0,0,0,"2,353",,"1,177",,,,"1,177",,,,0,,,,0,,,
FITTING,C83,#REF!,"1,998",0,0,0,"1,998",,"1,037",,,,961,,,,0,,,,0,,,
FITTING,C105,#REF!,620,0,0,0,620,,310,,,,310,,,,0,,,,0,,,
FITTING,C13,#REF!,"6,872",0,0,0,"6,872",,"3,436",,,,"3,436",,,,0,,,,0,,,
FITTING,C943,#REF!,"4,054",0,0,0,"4,054",,"2,027",,,,"2,027",,,,0,,,,0,,,
FITTING,C35,#REF!,333,0,0,0,333,,333,,,,0,,,,0,,,,0,,,
FITTING,C132,#REF!,"1,200",0,0,0,"1,200",,600,,,,600,,,,0,,,,0,,,
FITTING,C242,#REF!,"1,296",0,0,0,"1,296",,"1,296",,,,0,,,,0,,,,0,,,
FITTING,C940,#REF!,725,0,0,0,725,,725,,,,0,,,,0,,,,0,,,
PIPE,PS-3S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH76F,#REF!,64,0,0,0,64,,32,,,,32,,,,0,,,,0,,,
FITTING,C703N,#REF!,"6,661",0,0,0,"6,661",,"2,800",,,,"2,800",,,,0,,,,"1,061",,,
FITTING,C921,#REF!,"2,992",0,0,0,"2,992",,"1,496",,,,"1,496",,,,0,,,,0,,,
PIPE,PS-11,#REF!,200,0,0,0,200,,200,,,,0,,,,0,,,,0,,,
FITTING,C843,#REF!,"4,764",0,0,0,"4,764",,"2,890",,,,"1,874",,,,0,,,,0,,,
FITTING,C504,#REF!,"3,120",0,0,0,"3,120",,"1,560",,,,"1,560",,,,0,,,,0,,,
FITTING,C275,#REF!,562,0,0,0,562,,281,,,,0,,,,281,,,,0,,,
FITTING,C82,#REF!,650,0,0,0,650,,650,,,,0,,,,0,,,,0,,,
FITTING,C91,#REF!,"1,550",0,0,0,"1,550",,775,,,,775,,,,0,,,,0,,,
