https://docs.google.com/spreadsheets/d/10MLqjGDvIINGGV-AurbX0WG3Q6z4AstiZTe3sjWxdQQ/edit?gid=866519638#gid=866519638,,,,,,,,,,,,
,,,SWR,,,,,,,,AGRI,
Item Code,Plan,,Item Code,Plan,,,Item Code,Plan,,,Item Code,Plan
5633,-225,,,,,,A-447,1088,,,,
5151,-72,,,,,,A-448,1645,,,,
5951,-633,,,,,,A-449,1646,,,,
5651,-109,,,,,,A-442,-76,,,,
5751,-74,,,,,,A-443,-75,,,,
5152,72,,,,,,A-546,-541,,,,
5952,0,,,,,,A-547,1692,,,,
5652,-166,,,,,,A-548,451,,,,
5752,-44,,,,,,A-549,1921,,,,
5742,-1230,,,,,,A-542,83,,,,
5942,-100,,,,,,A-543,-21,,,,
5142,-98,,,,,,,,,,,
5642,0,,,,,,,,,,,
5746,-100,,,,,,,,,,,
5146,0,,,,,,,,,,,
5156,-755,,,,,,,,,,,
5745,-121,,,,,,,,,,,
5145,-197,,,,,,,,,,,
5758,0,,,,,,,,,,,
5158,-276,,,,,,,,,,,
5741,-181,,,,,,,,,,,
5941,148,,,,,,,,,,,
5141,-510,,,,,,,,,,,
5641,20,,,,,,,,,,,
5743,-749,,,,,,,,,,,
5143,0,,,,,,,,,,,
5155,38,,,,,,,,,,,
5744,-265,,,,,,,,,,,
5144,-102,,,,,,,,,,,
5157,1697,,,,,,,,,,,
5957,-563,,,,,,,,,,,
5657,152,,,,,,,,,,,
4761,-3528,,,,,,,,,,,
5761,1599,,,,,,,,,,,
5961,-931,,,,,,,,,,,
5161,306,,,,,,,,,,,
5661,0,,,,,,,,,,,
5762,-115,,,,,,,,,,,
5962,-1033,,,,,,,,,,,
5162,2956,,,,,,,,,,,
5662,-6,,,,,,,,,,,
5772,-29,,,,,,,,,,,
5172,-4,,,,,,,,,,,
5763,386,,,,,,,,,,,
5963,-311,,,,,,,,,,,
5163,762,,,,,,,,,,,
5763-W,1548,,,,,,,,,,,
5963-W,-15,,,,,,,,,,,
5163-W,469,,,,,,,,,,,
5764,-2600,,,,,,,,,,,
5964,0,,,,,,,,,,,
5164,-2645,,,,,,,,,,,
5664,-199,,,,,,,,,,,
5791,-865,,,,,,,,,,,
5102,0,,,,,,,,,,,
5103,0,,,,,,,,,,,
5104,0,,,,,,,,,,,
5105,0,,,,,,,,,,,
5771,-154,,,,,,,,,,,
5171,324,,,,,,,,,,,
5773,104,,,,,,,,,,,
5173,11,,,,,,,,,,,
5765,-1715,,,,,,,,,,,
RL02,0,,,,,,,,,,,
RL03,0,,,,,,,,,,,
RL04,0,,,,,,,,,,,
5710S,-17,,,,,,,,,,,
5910S,-1121,,,,,,,,,,,
5110S,-2250,,,,,,,,,,,
5610S,-194,,,,,,,,,,,
5711S,-697,,,,,,,,,,,
5911S,-142,,,,,,,,,,,
5111S,-1583,,,,,,,,,,,
5611S,-4,,,,,,,,,,,
5712S,-740,,,,,,,,,,,
5912S,36,,,,,,,,,,,
5112S,-341,,,,,,,,,,,
5612S,-24,,,,,,,,,,,
5721S,-1240,,,,,,,,,,,
5921S,-769,,,,,,,,,,,
5121S,-536,,,,,,,,,,,
5621S,-115,,,,,,,,,,,
5722S,-1960,,,,,,,,,,,
5922S,-190,,,,,,,,,,,
5122S,-37,,,,,,,,,,,
5622S,-168,,,,,,,,,,,
5733S,-451,,,,,,,,,,,
5933S,-133,,,,,,,,,,,
5133S,-192,,,,,,,,,,,
5633S,-44,,,,,,,,,,,
5734S,-308,,,,,,,,,,,
5934S,-191,,,,,,,,,,,
5134S,-3,,,,,,,,,,,
5634S,-40,,,,,,,,,,,
5741S,-261,,,,,,,,,,,
5941S,-330,,,,,,,,,,,
5141S,115,,,,,,,,,,,
5641S,14,,,,,,,,,,,
5742S,-117,,,,,,,,,,,
5942S,-198,,,,,,,,,,,
5142S,-186,,,,,,,,,,,
5642S,-75,,,,,,,,,,,
,,,,,,,,,,,,
