https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
132-NB,21,21,0,0,0,132-NB-,132-NB,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-QR,10,10,0,0,0,134-QR-,134-QR,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-RW,2,2,0,0,0,1375-RW-,1375-RW,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134-RG,5,5,0,0,0,134-RG-,134-RG,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-HW,39,39,0,0,0,145-HW-,145-HW,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-DR,5,5,0,0,0,133-DR-,133-DR,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-NB,12,12,0,0,0,130-NB-,130-NB,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-QP,10,10,0,0,0,129-QP-,129-QP,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-NR,301,301,0,0,0,145-NR-,145-NR,301,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-NR,85,85,0,0,0,133-NR-,133-NR,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
