https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,U832,#REF!,"1,285",0,0,0,"1,285",,"1,285",,,,0,,,,0,,,,0,,,
FITTING,U854,#REF!,398,0,0,0,398,,398,,,,0,,,,0,,,,0,,,
FITTING,U26NL,#REF!,210,0,0,0,210,,105,,,,105,,,,0,,,,0,,,
FITTING,U23,#REF!,485,0,0,0,485,,485,,,,0,,,,0,,,,0,,,
PIPE,PU-3,#REF!,360,0,0,0,360,,180,,,,180,,,,0,,,,0,,,
FITTING,U605,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U606,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U35,#REF!,"1,486",0,0,0,"1,486",,743,,,,743,,,,0,,,,0,,,
FITTING,U56,#REF!,"1,800",0,0,0,"1,800",,900,,,,0,,,,900,,,,0,,,
FITTING,U22-L,#REF!,516,0,0,0,516,,516,,,,0,,,,0,,,,0,,,
FITTING,U104,#REF!,60,0,0,0,60,,60,,,,0,,,,0,,,,0,,,
FITTING,U14,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U527,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U23N,#REF!,"1,844",0,0,0,"1,844",,922,,,,922,,,,0,,,,0,,,
FITTING,U953,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U90,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U101,#REF!,"1,193",0,0,0,"1,193",,"1,193",,,,0,,,,0,,,,0,,,
FITTING,U241,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U70,#REF!,"2,113",0,0,0,"2,113",,"1,057",,,,"1,057",,,,0,,,,0,,,
FITTING,U330,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U89,#REF!,"1,950",0,0,0,"1,950",,975,,,,975,,,,0,,,,0,,,
FITTING,U851,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-2,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U22,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U15,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U26,#REF!,23,0,0,0,23,,23,,,,0,,,,0,,,,0,,,
FITTING,U68,#REF!,76,0,0,0,76,,38,,,,38,,,,0,,,,0,,,
PIPE,PU-4S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U106,#REF!,28,0,0,0,28,,28,,,,0,,,,0,,,,0,,,
FITTING,U31,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U273,#REF!,522,0,0,0,522,,522,,,,0,,,,0,,,,0,,,
PIPE,PU-1S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U506,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U535,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U26-L,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U221,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U602,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U48,#REF!,52,0,0,0,52,,26,,,,0,,,,0,,,,26,,,
FITTING,U886,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U864,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U861,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U94,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U24,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U942,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U24-L,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U107,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH89-S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U863,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U49,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U36,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PU-5,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U96,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
SOLVENT,S14,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U604,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U86,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U57,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U109,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U69,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U897,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U896,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U76,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U265,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U320,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U274,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
SOLVENT,S13,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
