category,item_code,colour
Cocks Standard,124-AP,IVORY
Cocks Standard,124-AP,WHITE
Cocks Standard,124-AS,IVORY
Cocks Standard,124-AS,WHITE
Cocks Standard,124-B,BURGUNDY
Cocks Standard,124-B,GREEN
Cocks Standard,124-B,IVORY
Cocks Standard,124-B,M GREEN
Cocks Standard,124-B,PINK
Cocks Standard,124-B,WHITE
Cocks Standard,124-BF,IVORY
Cocks Standard,124-BF,WHITE
Cocks Standard,124-C,BURGUNDY
Cocks Standard,124-C,GREEN
Cocks Standard,124-C,IVORY
Cocks Standard,124-C,M GREEN
Cocks Standard,124-C,PINK
Cocks Standard,124-C,WHITE
Cocks Standard,124-CF,WHITE
Cocks Standard,124-D,IVORY
Cocks Standard,124-D,WHITE
Cocks Standard,124-DB,BLACK
Cocks Standard,124-DG,GOLD
Cocks Standard,124-DR,R BLUE
Cocks Standard,124-DW,WINE
Cocks Standard,124-E,BURGUNDY
Cocks Standard,124-E,GREEN
Cocks Standard,124-E,IVORY
Cocks Standard,124-E,M GREEN
Cocks Standard,124-E,PINK
Cocks Standard,124-E,WHITE
Cocks Standard,124-EB,IVORY
Cocks Standard,124-EB,WHITE
Cocks Standard,124-EF,BURGUNDY
Cocks Standard,124-EF,GREEN
Cocks Standard,124-EF,IVORY
Cocks Standard,124-EF,M GREEN
Cocks Standard,124-EF,PINK
Cocks Standard,124-EF,WHITE
Cocks Standard,124-F,BURGUNDY
Cocks Standard,124-F,GREEN
Cocks Standard,124-F,IVORY
Cocks Standard,124-F,M GREEN
Cocks Standard,124-F,PINK
Cocks Standard,124-F,WHITE
Cocks Standard,124-FH,IVORY
Cocks Standard,124-FH,WHITE
Cocks Standard,124-FP,BURGUNDY
Cocks Standard,124-FP,GREEN
Cocks Standard,124-FP,IVORY
Cocks Standard,124-FP,M GREEN
Cocks Standard,124-FP,PINK
Cocks Standard,124-FP,WHITE
Cocks Standard,124-H,BURGUNDY
Cocks Standard,124-H,GREEN
Cocks Standard,124-H,IVORY
Cocks Standard,124-H,M GREEN
Cocks Standard,124-H,PINK
Cocks Standard,124-H,WHITE
Cocks Standard,124-I,IVORY
Cocks Standard,124-I,WHITE
Cocks Standard,124-K,WHITE
Cocks Standard,124-KF,WHITE
Cocks Standard,124-L,WHITE
Cocks Standard,124-LS,WHITE
Cocks Standard,124-LSB,BLUE
Cocks Standard,124-LSF,WHITE
Cocks Standard,124-LSFB,BLUE
Cocks Standard,124-N,IVORY
Cocks Standard,124-N,WHITE
Cocks Standard,124-O,BURGUNDY
Cocks Standard,124-O,GREEN
Cocks Standard,124-O,IVORY
