category,item_code,normalized_code,issued_demand,mrp_series,on_prayag_tab
Cistern & Seat Cover,411,411,3.33,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-81,PTA-81,0.0,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-82,PTA-82,0.0,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-83,PTA-83,0.0,(not in current MRP product rows),False
Cabinet,PTA-49,PTA-49,264.33,(not in current MRP product rows),False
Cabinet,PTA-48,PTA-48,42.0,(not in current MRP product rows),False
Cabinet,PTA-50,PTA-50,16.67,(not in current MRP product rows),False
Cabinet,554-F,554-F,0.0,(not in current MRP product rows),False
Ball Cock,PTA-54,PTA-54,1358.0,(not in current MRP product rows),False
Ball Cock,PTA-53,PTA-53,230.67,(not in current MRP product rows),False
Ball Cock,PTA-55,PTA-55,75.33,(not in current MRP product rows),False
Ball Cock,151L,151L,0.0,(not in current MRP product rows),False
Ball Cock,B-151,B-151,0.0,(not in current MRP product rows),False
Ball Cock,B-152,B-152,0.0,(not in current MRP product rows),False
Ball Cock,B-153,B-153,0.0,(not in current MRP product rows),False
Ball Cock,B-161,B-161,0.0,(not in current MRP product rows),False
Ball Cock,B-162,B-162,0.0,(not in current MRP product rows),False
Ball Cock,B-163,B-163,0.0,(not in current MRP product rows),False
Ball Cock,B-167,B-167,0.0,(not in current MRP product rows),False
Ball Cock,B-168,B-168,0.0,(not in current MRP product rows),False
Ball Cock,B-169,B-169,0.0,(not in current MRP product rows),False
Ball Cock,B-173,B-173,0.0,(not in current MRP product rows),False
Ball Cock,B-174,B-174,0.0,(not in current MRP product rows),False
Ball Cock,B-175,B-175,0.0,(not in current MRP product rows),False
Ball Cock,N-151,N-151,0.0,(not in current MRP product rows),False
Ball Cock,N-152,N-152,0.0,(not in current MRP product rows),False
Ball Cock,N-153,N-153,0.0,(not in current MRP product rows),False
Ball Cock,PTA-56,PTA-56,0.0,(not in current MRP product rows),False
Ball Cock,PTA-57,PTA-57,0.0,(not in current MRP product rows),False
Ball Cock,PTA-58,PTA-58,0.0,(not in current MRP product rows),False
P.V.C. Connections,323-K,323-K,16407.0,(not in current MRP product rows),False
P.V.C. Connections,324-K,324-K,15286.0,(not in current MRP product rows),False
P.V.C. Connections,326-K,326-K,3052.0,(not in current MRP product rows),False
P.V.C. Connections,PTA-67,PTA-67,1568.5,(not in current MRP product rows),False
P.V.C. Connections,PTA-68,PTA-68,1344.5,(not in current MRP product rows),False
P.V.C. Connections,325-K,325-K,1082.0,(not in current MRP product rows),False
P.V.C. Connections,PTA-66,PTA-66,8.0,(not in current MRP product rows),False
P.V.C. Connections,321-K,321-K,0.0,(not in current MRP product rows),False
