Series,Rows,Category count,Planning categories,Unmapped ranges,Range distribution
"Helix Royal Series","27","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 2; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Helix Series","29","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 4; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Helix Wine Series","33","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 4; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 2; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 4; SINK COCK (133): 1; Sink Cock (132): 4; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Ibix Gold Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Ibix Peach Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Ibix Royal Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Ibix Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Ibix Wine Series","15","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Single Lever Basin (400): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Lagoon Gold Series","13","2","Cocks Premium | Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
"Lagoon Peach Series","13","2","Cocks Premium | Cocks Standard","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Bib Cock Long Body (124): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock (131): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Wall Mixer (1375): 1"
