id,item_code,colour,category,buffer_req,production_plan
420822,124-DB,BLACK,Cocks Standard,209,366
420823,124-DG,GOLD,Cocks Standard,0,0
420824,124-DP,,Cocks Premium,22,0
420825,124-DR,R BLUE,Cocks Standard,33,0
420826,124-DW,WINE,Cocks Standard,0,30
420827,124-E,BURGUNDY,Cocks Standard,0,0
420828,124-E,GREEN,Cocks Standard,0,0
420829,124-E,IVORY,Cocks Standard,0,0
420830,124-E,M GREEN,Cocks Standard,0,0
420831,124-E,PINK,Cocks Standard,0,0
420832,124-E,WHITE,Cocks Standard,288,0
420833,124-EB,IVORY,Cocks Standard,54,0
420834,124-EB,WHITE,Cocks Standard,234,627
420835,124-EF,BURGUNDY,Cocks Standard,0,0
420836,124-EF,GREEN,Cocks Standard,0,0
420837,124-EF,IVORY,Cocks Standard,0,0
420838,124-EF,M GREEN,Cocks Standard,0,0
420839,124-EF,PINK,Cocks Standard,0,0
420840,124-EF,WHITE,Cocks Standard,0,0
420841,124-F,BURGUNDY,Cocks Standard,0,0
420842,124-F,GREEN,Cocks Standard,0,0
420843,124-F,IVORY,Cocks Standard,276,0
420844,124-F,M GREEN,Cocks Standard,0,0
420845,124-F,PINK,Cocks Standard,15.33,0
420846,124-F,WHITE,Cocks Standard,832,879
420847,124-FH,IVORY,Unclassified,,0
420848,124-FH,IVORY,Unclassified,,0
420849,124-FH,WHITE,Unclassified,,0
420850,124-FHG,,Cocks Premium,0,0
420851,124-FHP,,Cocks Premium,0,0
420852,124-FHR,,Cocks Premium,0,0
420853,124-FHW,,Cocks Premium,3.33,0
420854,124-FP,BURGUNDY,Cocks Standard,0,0
420855,124-FP,GREEN,Cocks Standard,0,0
420856,124-FP,IVORY,Cocks Standard,0,0
420857,124-FP,M GREEN,Cocks Standard,0,0
420858,124-FP,PINK,Cocks Standard,0,0
420859,124-FP,WHITE,Cocks Standard,1.33,0
420860,124-H,BURGUNDY,Cocks Standard,0,0
420861,124-H,GREEN,Cocks Standard,0,0
420862,124-H,IVORY,Cocks Standard,306.67,0
420863,124-H,M GREEN,Cocks Standard,0,0
420864,124-H,PINK,Cocks Standard,0,0
420865,124-H,WHITE,Cocks Standard,1905.67,0
420866,124-HG,,Cocks Premium,15.33,0
420867,124-HP,,Cocks Premium,0,0
420868,124-HR,,Cocks Premium,82,69
420869,124-HW,,Cocks Premium,30.67,0
420870,124-I,IVORY,Cocks Standard,0,0
420871,124-I,WHITE,Cocks Standard,0,0
420872,124-IG,,Cocks Premium,0,0
420873,124-IP,,Cocks Premium,0,0
420874,124-IR,,Cocks Premium,0,0
420875,124-IW,,Cocks Premium,0,0
420876,124-K,WHITE,Cocks Standard,950.67,1822.67
420877,124-KF,WHITE,Cocks Standard,0,0
420878,124-L,WHITE,Cocks Standard,0,0
420879,124-LG,,Cocks Premium,0,0
420880,124-LP,,Cocks Premium,0,0
420881,124-LR,,Cocks Premium,0,0
420882,124-LS,WHITE,Cocks Standard,61.33,0
420883,124-LSB,BLUE,Cocks Standard,0,120
420884,124-LSF,WHITE,Cocks Standard,0,0
420885,124-LSFB,BLUE,Cocks Standard,7.67,0
