item_code,category,colour,segment
1231-F,Cocks Standard,GREEN,PTMT
1231-F,Cocks Standard,IVORY,PTMT
1231-F,Cocks Standard,M GREEN,PTMT
1231-F,Cocks Standard,PINK,PTMT
1231-F,Cocks Standard,WHITE,PTMT
1231-N,Cocks Standard,BURGUNDY,PTMT
1231-N,Cocks Standard,GREEN,PTMT
1231-N,Cocks Standard,IVORY,PTMT
1231-N,Cocks Standard,M GREEN,PTMT
1231-N,Cocks Standard,PINK,PTMT
1231-N,Cocks Standard,WHITE,PTMT
124,Cocks Standard,BLUE,PTMT
124,Cocks Standard,BURGUNDY,PTMT
124,Cocks Standard,GREEN,PTMT
124,Cocks Standard,IVORY,PTMT
124,Cocks Standard,M GREEN,PTMT
124,Cocks Standard,PINK,PTMT
124,Cocks Standard,WHITE,PTMT
124-A,Cocks Standard,IVORY,PTMT
124-A,Cocks Standard,WHITE,PTMT
124-AB,Cocks Standard,BLACK,PTMT
124-ABF,Cocks Standard,BLACK,PTMT
124-AF,Cocks Standard,IVORY,PTMT
124-AF,Cocks Standard,WHITE,PTMT
124-AP,Cocks Standard,IVORY,PTMT
124-AP,Cocks Standard,WHITE,PTMT
124-AS,Cocks Standard,IVORY,PTMT
124-AS,Cocks Standard,WHITE,PTMT
124-B,Cocks Standard,BURGUNDY,PTMT
124-B,Cocks Standard,GREEN,PTMT
124-B,Cocks Standard,IVORY,PTMT
124-B,Cocks Standard,M GREEN,PTMT
124-B,Cocks Standard,PINK,PTMT
124-B,Cocks Standard,WHITE,PTMT
124-BF,Cocks Standard,IVORY,PTMT
124-BF,Cocks Standard,WHITE,PTMT
124-C,Cocks Standard,BURGUNDY,PTMT
124-C,Cocks Standard,GREEN,PTMT
124-C,Cocks Standard,IVORY,PTMT
124-C,Cocks Standard,M GREEN,PTMT
124-C,Cocks Standard,PINK,PTMT
124-C,Cocks Standard,WHITE,PTMT
124-CF,Cocks Standard,WHITE,PTMT
124-D,Cocks Standard,IVORY,PTMT
124-D,Cocks Standard,WHITE,PTMT
124-DB,Cocks Standard,BLACK,PTMT
124-DG,Cocks Standard,GOLD,PTMT
124-DP,Cocks Premium,,PTMT
124-DR,Cocks Standard,R BLUE,PTMT
124-DW,Cocks Standard,WINE,PTMT
