id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
419203,123-DG,33,11,269,0,0
419204,123-DP,,36.33,227,0,0
419205,123-DR,61,429,169,33,0
419206,123-DW,,11,92,0,0
419207,123-E,BURGUNDY,0,0,0,0
419208,123-E,GREEN,0,0,0,0
419209,123-E,IVORY,0,2518,0,0
419210,123-E,M GREEN,0,0,0,0
419211,123-E,PINK,0,0,0,0
419212,123-E,WHITE,9,33,0,0
419213,123-EF,BURGUNDY,0,0,0,0
419214,123-EF,GREEN,0,0,0,0
419215,123-EF,IVORY,0,0,0,0
419216,123-EF,M GREEN,0,0,0,0
419217,123-EF,PINK,0,0,0,0
419218,123-EF,WHITE,0,122,0,0
419219,123-EN,BURGUNDY,0,0,0,0
419220,123-EN,GREEN,0,0,0,0
419221,123-EN,IVORY,0,0,0,0
419222,123-EN,M GREEN,0,0,0,0
419223,123-EN,PINK,0,0,0,0
419224,123-EN,WHITE,0,2,0,0
419225,123-F,BURGUNDY,0,0,0,0
419226,123-F,GREEN,0,0,0,0
419227,123-F,IVORY,61.33,142,0,0
419228,123-F,M GREEN,0,0,0,0
419229,123-F,PINK,0,0,0,0
419230,123-F,WHITE,466,0,0,29
419231,123-FH,IVORY,0,24,0,0
419232,123-FH,IVORY,0,24,0,0
419233,123-FH,WHITE,245.33,375,0,0
419234,123-FHG,,0,3,0,0
419235,123-FHP,,0,164,0,0
419236,123-FHR,,0,266,0,0
419237,123-FHW,,0,144,0,0
419238,123-FP,BURGUNDY,0,0,0,0
419239,123-FP,GREEN,0,0,0,0
419240,123-FP,IVORY,0,42,0,0
419241,123-FP,M GREEN,0,0,0,0
419242,123-FP,PINK,0,0,0,0
419243,123-FP,WHITE,18.67,7,0,0
419244,123-H,BURGUNDY,0,0,0,0
419245,123-H,GREEN,0,0,0,0
419246,123-H,IVORY,0,931,0,0
419247,123-H,M GREEN,0,0,0,0
419248,123-H,PINK,0,0,0,0
419249,123-H,WHITE,980,2975,0,0
419250,123-HG,,20,201,0,0
419251,123-HN,,0,0,0,0
419252,123-HNG,,0,0,0,0
419253,123-HNP,,0,0,0,0
419254,123-HNR,,0,0,0,0
419255,123-HNW,,0,0,0,0
419256,123-HP,,0,109,0,0
419257,123-HR,,20,6,0,0
419258,123-HW,,40,161,0,0
419259,123-I,IVORY,0,118,0,0
419260,123-I,WHITE,143,32,0,0
419261,123-IG,,11,0,0,11
419262,123-IP,,0,0,0,0
419263,123-IR,,0,27,0,0
419264,123-IW,,0,0,0,0
419265,123-K,WHITE,820,0,0,166
419266,123-KF,WHITE,0.33,267,0,0
419267,123-KN,WHITE,0,0,0,0
419268,123-L,IVORY,0,12,0,0
419269,123-L,WHITE,0,44,0,0
419270,123-LG,,0,0,0,0
419271,123-LP,,0,0,0,0
419272,123-LR,,0,39,0,0
419273,123-LS,WHITE,80,29,0,0
419274,123-LSB,BLUE,0,0,0,450
419275,123-LSF,IVORY,0,0,0,0
419276,123-LSFB,BLUE,15.33,36,0,0
419277,123-LSN,WHITE,0,0,0,0
419278,123-LSNB,BLUE,0,0,0,0
419279,123-LW,,11,36,0,0
419280,123-N,BURGUNDY,0,0,0,0
419281,123-N,GREEN,0,0,0,0
419282,123-N,IVORY,0,8,0,0
419283,123-N,M GREEN,0,0,0,0
419284,123-N,PINK,0,0,0,0
419285,123-N,WHITE,38,39,0,0
419286,123-NN,IVORY,0,111,0,0
419287,123-NN,WHITE,90.33,34,0,0
419288,123-NNB,,198,0,0,157
