item_code,colour,category,issued_demand
553-F,WHITE,Cabinet,0
554,,Cabinet,0
554,IVORY,Cabinet,0
554,WHITE,Cabinet,0
554-F,,Cabinet,0
555,,Cabinet,0
555,IVORY,Cabinet,3
555,WHITE,Cabinet,0
555-F,,Cabinet,0
555-F,IVORY,Cabinet,0
555-F,WHITE,Cabinet,0
556,,Cabinet,0
556,IVORY,Cabinet,0.33
556,WHITE,Cabinet,0
557,,Cabinet,0
557,IVORY,Cabinet,0
557,WHITE,Cabinet,0
557-F,IVORY,Cabinet,0
557-F,WHITE,Cabinet,1
661,,Cabinet,0
661,IVORY,Cabinet,0
661,WHITE,Cabinet,0
662,,Cabinet,0
662,IVORY,Cabinet,0
662,WHITE,Cabinet,412
663,,Cabinet,0
663,IVORY,Cabinet,0
663,WHITE,Cabinet,9.67
664-M,,Cabinet,0
664-M,IVORY,Cabinet,0
664-M,WHITE,Cabinet,0
665,,Cabinet,0
665,IVORY,Cabinet,0
665,WHITE,Cabinet,46
666,,Cabinet,0
666,IVORY,Cabinet,0
666,WHITE,Cabinet,7
667,,Cabinet,0
667,IVORY,Cabinet,0
667,WHITE,Cabinet,325.67
PTA-48,,Cabinet,42
PTA-49,,Cabinet,264.33
PTA-50,,Cabinet,16.67
411,,Cistern & Seat Cover,3.33
501,BLUE,Cistern & Seat Cover,0
501,GOLD,Cistern & Seat Cover,0
501,GREEN,Cistern & Seat Cover,0
501,IVORY,Cistern & Seat Cover,0
501,PINK,Cistern & Seat Cover,0
501,WHITE,Cistern & Seat Cover,2816
501-N,BLUE,Cistern & Seat Cover,0
501-N,BURGUNDAY,Cistern & Seat Cover,0
501-N,GREEN,Cistern & Seat Cover,0
501-N,IVORY,Cistern & Seat Cover,0
501-N,PINK,Cistern & Seat Cover,0
501-N,WHITE,Cistern & Seat Cover,0
501-S,BLUE,Cistern & Seat Cover,0
501-S,BURGUNDAY,Cistern & Seat Cover,0
501-S,GREEN,Cistern & Seat Cover,0
501-S,IVORY,Cistern & Seat Cover,0
501-S,PINK,Cistern & Seat Cover,0
501-S,WHITE,Cistern & Seat Cover,0
502,BLUE,Cistern & Seat Cover,0
502,BURGUNDAY,Cistern & Seat Cover,0
502,GREEN,Cistern & Seat Cover,0
502,IVORY,Cistern & Seat Cover,0
502,PINK,Cistern & Seat Cover,0
502,WHITE,Cistern & Seat Cover,3.33
503,BLUE,Cistern & Seat Cover,0
503,BURGUNDAY,Cistern & Seat Cover,0
503,GREEN,Cistern & Seat Cover,0
503,IVORY,Cistern & Seat Cover,0
503,PINK,Cistern & Seat Cover,0
503,WHITE,Cistern & Seat Cover,0
503-N,BLUE,Cistern & Seat Cover,0
503-N,BURGUNDAY,Cistern & Seat Cover,0
503-N,GREEN,Cistern & Seat Cover,0
503-N,IVORY,Cistern & Seat Cover,0
503-N,PINK,Cistern & Seat Cover,0
503-N,WHITE,Cistern & Seat Cover,0
504,BLUE,Cistern & Seat Cover,0
504,BURGUNDAY,Cistern & Seat Cover,0
504,GREEN,Cistern & Seat Cover,0
504,IVORY,Cistern & Seat Cover,0
504,PINK,Cistern & Seat Cover,0
504,WHITE,Cistern & Seat Cover,6.67
505,BLUE,Cistern & Seat Cover,0
505,BURGUNDAY,Cistern & Seat Cover,0
505,GREEN,Cistern & Seat Cover,0
505,IVORY,Cistern & Seat Cover,0
505,PINK,Cistern & Seat Cover,0
505,WHITE,Cistern & Seat Cover,0
506,BLUE,Cistern & Seat Cover,0
506,BURGUNDAY,Cistern & Seat Cover,0
506,GREEN,Cistern & Seat Cover,0
506,IVORY,Cistern & Seat Cover,0
506,PINK,Cistern & Seat Cover,0
506,WHITE,Cistern & Seat Cover,0
507,BLUE,Cistern & Seat Cover,0
507,BURGUNDAY,Cistern & Seat Cover,0
507,GREEN,Cistern & Seat Cover,0
507,IVORY,Cistern & Seat Cover,0
507,PINK,Cistern & Seat Cover,0
507,WHITE,Cistern & Seat Cover,92.67
508,BLUE,Cistern & Seat Cover,0
508,BURGUNDAY,Cistern & Seat Cover,0
508,GREEN,Cistern & Seat Cover,0
508,IVORY,Cistern & Seat Cover,0
508,PINK,Cistern & Seat Cover,0
508,WHITE,Cistern & Seat Cover,180
511,BLUE,Cistern & Seat Cover,0
511,BURGUNDAY,Cistern & Seat Cover,0
511,GREEN,Cistern & Seat Cover,0
511,IVORY,Cistern & Seat Cover,0
511,PINK,Cistern & Seat Cover,0
511,WHITE,Cistern & Seat Cover,669.33
512,BLUE,Cistern & Seat Cover,0
512,BURGUNDAY,Cistern & Seat Cover,0
512,GREEN,Cistern & Seat Cover,0
512,IVORY,Cistern & Seat Cover,0
512,PINK,Cistern & Seat Cover,0
512,WHITE,Cistern & Seat Cover,15
513,BLUE,Cistern & Seat Cover,0
513,BURGUNDAY,Cistern & Seat Cover,0
513,GREEN,Cistern & Seat Cover,0
513,IVORY,Cistern & Seat Cover,0
513,PINK,Cistern & Seat Cover,0
513,WHITE,Cistern & Seat Cover,5792.33
513-EWC,,Cistern & Seat Cover,846.67
514,BLUE,Cistern & Seat Cover,0
514,BURGUNDAY,Cistern & Seat Cover,0
514,GREEN,Cistern & Seat Cover,0
514,IVORY,Cistern & Seat Cover,0
514,PINK,Cistern & Seat Cover,0
514,WHITE,Cistern & Seat Cover,0
514-T,IVORY,Cistern & Seat Cover,0
514-T,WHITE,Cistern & Seat Cover,9.67
515,BLUE,Cistern & Seat Cover,0
515,BURGUNDAY,Cistern & Seat Cover,0
515,GREEN,Cistern & Seat Cover,0
