"itemCode","colour","category","material","unfeasiblePieces","dummyPieces","orderPieces","bufferPieces","route","bomSourceStatus","currentSourceWeightKg","currentSourceRawRows","julySnapshot","augustSnapshot"
"PG63","","Unclassified","Unclassified","900","0","900","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP55","","Unclassified","Unclassified","900","0","900","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"5606","","Unclassified","Unclassified","841","841","0","0","no route in active local pool","positive source weight","0.296","2","missing/zero frozen weight","not in snapshot"
"A-761","","AGRI Fitting","AGRI","836.81","325","0","511.81","route present","positive source weight","0.1005","3","missing/zero frozen weight","missing/zero frozen weight"
"PB232","","Unclassified","Unclassified","735","585","150","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PW17","","SWR Pipe","SWR","729.68","169","0","560.68","route present","positive source weight","1.52","3","missing/zero frozen weight","missing/zero frozen weight"
"P20W04","","Unclassified","Unclassified","700","0","700","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"RL02","","SWR Solvent","SWR","691","0","0","691","no route in active local pool","absent from current source","","0","not in snapshot","missing/zero frozen weight"
"PW18","","SWR Pipe","SWR","659.97","22","0","637.97","route present","positive source weight","2.28","3","missing/zero frozen weight","missing/zero frozen weight"
"PG55","","Unclassified","Unclassified","650","0","650","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG64","","Unclassified","Unclassified","650","0","650","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-368","","AGRI Fitting","AGRI","547.91","252","0","295.91","route present","positive source weight","0.461","3","missing/zero frozen weight","missing/zero frozen weight"
"P20G04","","Unclassified","Unclassified","525","0","525","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"5793","","Unclassified","Unclassified","500","500","0","0","no route in active local pool","absent from current source","","0","missing/zero frozen weight","not in snapshot"
"P20W05","","Unclassified","Unclassified","500","0","500","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG403","","Unclassified","Unclassified","500","0","500","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG43","","Unclassified","Unclassified","500","0","500","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-467","","AGRI Fitting","AGRI","493.2","163","0","330.2","route present","positive source weight","0.2328","3","missing/zero frozen weight","missing/zero frozen weight"
"CM32","","CPVC Fitting","CPVC","483.6","0","0","483.6","route present","positive source weight","0.1455","3","missing/zero frozen weight","missing/zero frozen weight"
"PC25","","CPVC Fitting","CPVC","473.32","0","0","473.32","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"PP23","","Unclassified","Unclassified","465","0","465","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-768","","AGRI Fitting","AGRI","459.45","34","0","425.45","route present","positive source weight","0.2568","3","missing/zero frozen weight","missing/zero frozen weight"
"A-369","","AGRI Fitting","AGRI","436.15","0","15","421.15","route present","positive source weight","0.725","3","missing/zero frozen weight","missing/zero frozen weight"
"5792","","Unclassified","Unclassified","416","416","0","0","no route in active local pool","positive source weight","0.474","2","missing/zero frozen weight","not in snapshot"
"PW15","","SWR Pipe","SWR","413.65","0","0","413.65","route present","positive source weight","0.76","3","missing/zero frozen weight","missing/zero frozen weight"
"A-667","","AGRI Fitting","AGRI","411.98","191","0","220.98","route present","positive source weight","0.618","3","missing/zero frozen weight","missing/zero frozen weight"
"PG323","","Unclassified","Unclassified","400","0","400","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PG44","","Unclassified","Unclassified","400","0","400","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"P20G05","","Unclassified","Unclassified","375","0","375","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-504","","Unclassified","Unclassified","372","372","0","0","no route in active local pool","positive source weight","0.12","2","missing/zero frozen weight","not in snapshot"
"PW75","","SWR Pipe","SWR","368.52","0","0","368.52","route present","positive source weight","0.48","3","missing/zero frozen weight","missing/zero frozen weight"
"PG23","","Unclassified","Unclassified","350","0","350","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PW16","","SWR Pipe","SWR","349.4","35","0","314.4","route present","positive source weight","1.14","3","missing/zero frozen weight","missing/zero frozen weight"
"A-366","","AGRI Fitting","AGRI","334.4","182","0","152.4","route present","positive source weight","0.2002","3","missing/zero frozen weight","missing/zero frozen weight"
"PG413","","Unclassified","Unclassified","300","0","300","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP24","","Unclassified","Unclassified","300","0","300","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP45","","Unclassified","Unclassified","300","0","300","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP65","","Unclassified","Unclassified","300","0","300","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
