"item code","item name","category","material","pieces unfeasible","DUMMY","ORDERS","BUFFER","has machine route"
"PG63","Unmapped pending item","Unclassified","Unclassified","900","0","900","0","no"
"PP55","Unmapped pending item","Unclassified","Unclassified","900","0","900","0","no"
"5606","160MM SOCKET PLUG","Unclassified","Unclassified","841","841","0","0","no"
"A-761","","AGRI Fitting","AGRI","836.81","325","0","511.81","yes"
"PB232"," / COLUMN PIPE 32 MM 12.5 KG/CM3","Unclassified","Unclassified","735","585","150","0","no"
"PW17","","SWR Pipe","SWR","729.68","169","0","560.68","yes"
"P20W04","Unmapped pending item","Unclassified","Unclassified","700","0","700","0","no"
"RL02","","SWR Solvent","SWR","691","0","0","691","no"
"PW18","","SWR Pipe","SWR","659.97","22","0","637.97","yes"
"PG55","Unmapped pending item","Unclassified","Unclassified","650","0","650","0","no"
"PG64","Unmapped pending item","Unclassified","Unclassified","650","0","650","0","no"
"A-368","","AGRI Fitting","AGRI","547.91","252","0","295.91","yes"
"P20G04","Unmapped pending item","Unclassified","Unclassified","525","0","525","0","no"
"5793","MULTIFLOOR TRAPE 110X75X50 MM WITH COVER","Unclassified","Unclassified","500","500","0","0","no"
"P20W05","Unmapped pending item","Unclassified","Unclassified","500","0","500","0","no"
"PG403","Unmapped pending item","Unclassified","Unclassified","500","0","500","0","no"
"PG43","Unmapped pending item","Unclassified","Unclassified","500","0","500","0","no"
"A-467","","AGRI Fitting","AGRI","493.2","163","0","330.2","yes"
"CM32","","CPVC Fitting","CPVC","483.6","0","0","483.6","yes"
"PC25","","CPVC Fitting","CPVC","473.32","0","0","473.32","yes"
"PP23","Unmapped pending item","Unclassified","Unclassified","465","0","465","0","no"
"A-768","","AGRI Fitting","AGRI","459.45","34","0","425.45","yes"
"A-369","","AGRI Fitting","AGRI","436.15","0","15","421.15","yes"
"5792","MULTIFLOOR TRAPE 110X75X50 MM","Unclassified","Unclassified","416","416","0","0","no"
"PW15","","SWR Pipe","SWR","413.65","0","0","413.65","yes"
"A-667","","AGRI Fitting","AGRI","411.98","191","0","220.98","yes"
"PG323","Unmapped pending item","Unclassified","Unclassified","400","0","400","0","no"
"PG44","Unmapped pending item","Unclassified","Unclassified","400","0","400","0","no"
"P20G05","Unmapped pending item","Unclassified","Unclassified","375","0","375","0","no"
"A-504","ELBOW 45- 6 KG, 63MM AGRI","Unclassified","Unclassified","372","372","0","0","no"
"PW75","","SWR Pipe","SWR","368.52","0","0","368.52","yes"
"PG23","Unmapped pending item","Unclassified","Unclassified","350","0","350","0","no"
"PW16","","SWR Pipe","SWR","349.4","35","0","314.4","yes"
"A-366","","AGRI Fitting","AGRI","334.4","182","0","152.4","yes"
"PG413","Unmapped pending item","Unclassified","Unclassified","300","0","300","0","no"
"PP24","Unmapped pending item","Unclassified","Unclassified","300","0","300","0","no"
"PP45","Unmapped pending item","Unclassified","Unclassified","300","0","300","0","no"
"PP65","Unmapped pending item","Unclassified","Unclassified","300","0","300","0","no"
"PP403"," / 25""x1/2"" Male brass coupling","Unclassified","Unclassified","285","0","285","0","no"
"PP243","Unmapped pending item","Unclassified","Unclassified","270","0","270","0","no"
"PP253","Unmapped pending item","Unclassified","Unclassified","270","0","270","0","no"
"PP33","Unmapped pending item","Unclassified","Unclassified","270","0","270","0","no"
"AS-348","AGRI EQUAL TEE 90","Unclassified","Unclassified","256","256","0","0","no"
