id,run_id,cat_no,colour,qty
678,6,147-U,WHITE,30
679,6,145-U,WHITE,23
680,6,129-U,WHITE,24
681,6,183,WHITE,14
682,6,145-Q,IVORY,23
683,6,129-Q,IVORY,24
684,6,150-Q,IVORY,14
685,6,132-Q,IVORY,30
686,6,132-U,WHITE,26
687,6,124-QR,R BLUE,66
688,6,144-QR,R BLUE,132
689,6,123-QR,R BLUE,66
690,6,123-Q,IVORY,33
691,6,144-Q,IVORY,66
692,6,121,WHITE,0
693,6,701,WHITE,0
694,6,122-L,WHITE,33
695,6,139,WHITE,0
696,6,127,WHITE,0
697,6,121-O,WHITE,0
698,6,124-O,WHITE,0
699,6,123-NNG,GOLD,1
700,6,124-NG,GOLD,1
701,6,144-NG,GOLD,1
702,6,130-NG,GOLD,1
703,6,1375-NG,GOLD,1
704,6,124-LSB,BLUE,120
705,6,1375-LSB,BLUE,270
706,6,147-LSQB,BLUE,52
707,6,123-LSB,BLUE,184
708,6,127-LSB,BLUE,52
709,6,129-LSB,BLUE,120
710,6,130-LSB,BLUE,52
711,6,131-LSB,BLUE,52
712,6,132-LSB,BLUE,198
713,6,132-LSTB,BLUE,240
714,6,133-LSB,BLUE,184
715,6,144-LSB,BLUE,52
716,6,145-LSB,BLUE,132
717,6,147-LSB,BLUE,90
718,6,149-LSB,BLUE,120
719,6,152,GOLD,30
720,6,153,GOLD,30
721,6,CS-01,WHITE,60
722,6,CH-01,WHITE,60
723,6,125-O,IVORY,396
724,6,1817-C,IVORY,120
725,6,120-WS,WHITE,180
726,6,124-WS,WHITE,60
727,6,124-SR,R BLUE,108
728,6,144-SR,R BLUE,90
729,6,132-SR,R BLUE,26
730,6,124-O,WHITE,60
731,6,144-O,WHITE,132
732,6,105,WHITE,64
733,6,121-B,WHITE,87
734,6,PTA-26,WHITE,18
735,7,SNPTCSL-1,WHITE,20
736,7,SNPTCSL-9,IVORY,20
737,7,SNPTC-1,WHITE,20
738,7,SNPTC-9,IVORY,20
739,7,SNPT-89HF,WHITE,50
740,7,131-D,IVORY,13
741,7,124-Q,IVORY,0
742,7,144-Q,IVORY,0
743,7,129-Q,IVORY,0
744,7,132-Q,IVORY,0
745,7,145-Q,IVORY,0
746,7,1375-Q,IVORY,0
747,7,127-QP,PEACH,0
748,7,704,WHITE,0
749,7,P-121,GREY,0
750,7,P-124,GREY,0
751,7,P-144,GREY,0
752,7,323,WHITE,0
753,7,3272,WHITE,0
754,7,3272-B,WHITE,0
755,7,103,WHITE,0
756,7,1815-C,IVORY,0
757,7,1817-C,IVORY,0
758,7,1821-C,IVORY,0
759,7,188,WHITE,0
760,7,5221,WHITE,0
761,7,183,IVORY,0
762,7,169,,0
763,7,175,GREEN,0
764,7,123-Q,IVORY,0
765,7,124-QB,BLACK,0
766,7,144-QB,BLACK,0
767,7,1375-QP,PEACH,0
