id,month,as_of_at,status,factors_json,note,created_at,segment,effective_from,weekly_release_version
48,2026-07,2026-08-11T13:17:41.689Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-11T13:17:41.689Z,PTMT,,0
1,2026-07,2026-07-17T14:06:43.077Z,finalized,"{""SWR Pipe"":1.29,""AGRI Pipe"":1.39,""CPVC Pipe"":1.28,""UPVC Pipe"":1.29,""SWR Fitting"":1.45,""SWR Solvent"":1.5,""AGRI Fitting"":1.27,""AGRI Solvent"":1.6,""CPVC Fitting"":1.23,""CPVC Solvent"":1.3,""UPVC Fitting"":1.23,""UPVC Solvent"":1.59}",,2026-07-17T14:06:43.077Z,Plumbing,2026-07-01,0
21,2026-08,2026-08-05T13:20:47.727Z,finalized,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",Item-6 smoke test,2026-08-05T13:20:47.727Z,PTMT,2026-08-01,0
44,2026-08,2026-08-11T12:47:14.854Z,finalized,"{""SWR Pipe"":1,""AGRI Pipe"":1.39,""CPVC Pipe"":1.28,""UPVC Pipe"":1.29,""SWR Fitting"":1,""SWR Solvent"":1,""AGRI Fitting"":1.27,""AGRI Solvent"":1.6,""CPVC Fitting"":1.23,""CPVC Solvent"":1.3,""UPVC Fitting"":1.23,""UPVC Solvent"":1.59}",August 2026 Plumbing baseline,2026-08-11T12:47:14.854Z,Plumbing,2026-08-01,0
490,2026-07,2026-08-23T07:24:32.212Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-23T07:24:32.212Z,PTMT,2026-07-01,1
631,2026-07,2026-08-24T13:07:44.999Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T13:07:44.999Z,PTMT,2026-07-01,1
697,2026-07,2026-08-25T05:07:35.960Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-25T05:07:35.960Z,PTMT,2026-07-01,1
576,2026-07,2026-08-24T11:56:01.100Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T11:56:01.100Z,PTMT,2026-07-01,1
577,2026-07,2026-08-24T12:20:59.338Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-24T12:20:59.338Z,PTMT,2026-07-01,1
443,2026-07,2026-08-21T17:06:38.084Z,draft,"{""Cabinet"":1.2,""Ball Cock"":1.5,""Accessorise"":1.5,""Cocks Premium"":1.2,""Cocks Standard"":1.5,""Cistern & Seat Cover"":1.2,""Faucets & Jetsprays & Shower"":1.5}",suite-NC9,2026-08-21T17:06:38.084Z,PTMT,2026-07-01,1
