id,category,item_code,colour,segment
285,Cocks Standard,123.0,IVORY,PTMT
286,Cocks Standard,123.0,M GREEN,PTMT
287,Cocks Standard,123.0,PINK,PTMT
288,Cocks Standard,123.0,WHITE,PTMT
289,Cocks Standard,1231-F,BURGUNDY,PTMT
290,Cocks Standard,1231-F,GREEN,PTMT
291,Cocks Standard,1231-F,IVORY,PTMT
292,Cocks Standard,1231-F,M GREEN,PTMT
293,Cocks Standard,1231-F,PINK,PTMT
294,Cocks Standard,1231-F,WHITE,PTMT
295,Cocks Standard,1231-N,BURGUNDY,PTMT
296,Cocks Standard,1231-N,GREEN,PTMT
297,Cocks Standard,1231-N,IVORY,PTMT
298,Cocks Standard,1231-N,M GREEN,PTMT
299,Cocks Standard,1231-N,PINK,PTMT
300,Cocks Standard,1231-N,WHITE,PTMT
301,Cocks Standard,1231.0,BURGUNDY,PTMT
302,Cocks Standard,1231.0,GREEN,PTMT
303,Cocks Standard,1231.0,IVORY,PTMT
304,Cocks Standard,1231.0,M GREEN,PTMT
305,Cocks Standard,1231.0,PINK,PTMT
306,Cocks Standard,1231.0,WHITE,PTMT
307,Cocks Standard,124-A,IVORY,PTMT
308,Cocks Standard,124-A,WHITE,PTMT
309,Cocks Standard,124-AB,BLACK,PTMT
310,Cocks Standard,124-ABF,BLACK,PTMT
311,Cocks Standard,124-AF,IVORY,PTMT
312,Cocks Standard,124-AF,WHITE,PTMT
313,Cocks Standard,124-AP,IVORY,PTMT
314,Cocks Standard,124-AP,WHITE,PTMT
315,Cocks Standard,124-AS,IVORY,PTMT
316,Cocks Standard,124-AS,WHITE,PTMT
317,Cocks Standard,124-B,BURGUNDY,PTMT
318,Cocks Standard,124-B,GREEN,PTMT
319,Cocks Standard,124-B,IVORY,PTMT
320,Cocks Standard,124-B,M GREEN,PTMT
321,Cocks Standard,124-B,PINK,PTMT
322,Cocks Standard,124-B,WHITE,PTMT
323,Cocks Standard,124-BF,IVORY,PTMT
324,Cocks Standard,124-BF,WHITE,PTMT
325,Cocks Standard,124-C,BURGUNDY,PTMT
326,Cocks Standard,124-C,GREEN,PTMT
327,Cocks Standard,124-C,IVORY,PTMT
328,Cocks Standard,124-C,M GREEN,PTMT
329,Cocks Standard,124-C,PINK,PTMT
330,Cocks Standard,124-C,WHITE,PTMT
331,Cocks Standard,124-CF,WHITE,PTMT
332,Cocks Standard,124-D,IVORY,PTMT
333,Cocks Standard,124-D,WHITE,PTMT
334,Cocks Standard,124-DB,BLACK,PTMT
335,Cocks Standard,124-DG,GOLD,PTMT
336,Cocks Standard,124-DR,R BLUE,PTMT
337,Cocks Standard,124-DW,WINE,PTMT
338,Cocks Standard,124-E,BURGUNDY,PTMT
339,Cocks Standard,124-E,GREEN,PTMT
340,Cocks Standard,124-E,IVORY,PTMT
341,Cocks Standard,124-E,M GREEN,PTMT
342,Cocks Standard,124-E,PINK,PTMT
343,Cocks Standard,124-E,WHITE,PTMT
344,Cocks Standard,124-EB,IVORY,PTMT
345,Cocks Standard,124-EB,WHITE,PTMT
346,Cocks Standard,124-EF,BURGUNDY,PTMT
347,Cocks Standard,124-EF,GREEN,PTMT
348,Cocks Standard,124-EF,IVORY,PTMT
349,Cocks Standard,124-EF,M GREEN,PTMT
350,Cocks Standard,124-EF,PINK,PTMT
351,Cocks Standard,124-EF,WHITE,PTMT
352,Cocks Standard,124-F,BURGUNDY,PTMT
353,Cocks Standard,124-F,GREEN,PTMT
354,Cocks Standard,124-F,IVORY,PTMT
355,Cocks Standard,124-F,M GREEN,PTMT
356,Cocks Standard,124-F,PINK,PTMT
357,Cocks Standard,124-F,WHITE,PTMT
358,Cocks Standard,124-FH,IVORY,PTMT
359,Cocks Standard,124-FH,WHITE,PTMT
360,Cocks Standard,124-FP,BURGUNDY,PTMT
361,Cocks Standard,124-FP,GREEN,PTMT
362,Cocks Standard,124-FP,IVORY,PTMT
363,Cocks Standard,124-FP,M GREEN,PTMT
364,Cocks Standard,124-FP,PINK,PTMT
365,Cocks Standard,124-FP,WHITE,PTMT
366,Cocks Standard,124-H,BURGUNDY,PTMT
367,Cocks Standard,124-H,GREEN,PTMT
368,Cocks Standard,124-H,IVORY,PTMT
369,Cocks Standard,124-H,M GREEN,PTMT
370,Cocks Standard,124-H,PINK,PTMT
371,Cocks Standard,124-H,WHITE,PTMT
372,Cocks Standard,124-I,IVORY,PTMT
